City	Country	Latitude	Longitude	Year	population
Ürümqi (Wulumqi)	China	43.78	87.58	1950	250001.686997
Weifang	China	36.71	119.1	1950	180001.550046
Wenzhou	China	27.99	120.65	1950	260001.158034
Wuhan	China	30.57	114.27	1950	1310001.94188
Wuhu, Anhui	China	31.33	118.35	1950	210001.548497
Wuxi, Jiangsu	China	33.0	120.0	1950	570001.086933
Xiamen	China	24.46	118.07	1950	210001.500258
Xi'an, Shaanxi	China	34.26	108.9	1950	710001.704239
Xiangfan, Hubei	China	30.4	114.88	1950	100001.830164
Xiantao	China	30.38	113.4	1950	1000001.86989
Xianyang, Shaanxi	China	34.35	108.71	1950	100001.327541
Xingyi, Guizhou	China	24.53	104.31	1950	280001.809943
Xining	China	36.64	101.76	1950	260001.17097
Xinxiang	China	35.3	113.86	1950	240001.415147
Xinyang	China	32.13	114.05	1950	90001.68251
Xinyu	China	27.79	114.92	1950	230001.876192
Xuanzhou	China	27.09	112.71	1950	590001.44484
Xuzhou	China	34.26	117.16	1950	340001.489075
Yancheng, Jiangsu	China	33.38	120.11	1950	140001.413724
Yantai	China	37.45	121.44	1950	190001.041552
Yibin	China	28.76	104.61	1950	80001.9125537
Yichang	China	30.7	111.28	1950	110001.150377
Yichun, Heilongjiang	China	47.73	128.9	1950	550001.923535
Yichun, Jiangxi	China	27.8	114.38	1950	340001.41703
Yinchuan	China	38.46	106.26	1950	100001.867946
Yingkou	China	40.66	122.23	1950	120001.830463
Yiyang, Hunan	China	28.58	112.33	1950	400001.986965
Yongzhou	China	26.21	111.61	1950	840001.294184
Yuci	China	37.68	112.73	1950	90001.6099622
Yueyang	China	29.36	113.1	1950	670001.209325
Yulin, Guangxi	China	22.63	110.15	1950	190001.099046
Zaozhuang	China	34.86	117.55	1950	280001.798822
Zhangjiakou	China	40.81	114.88	1950	300001.6171
Zhanjiang	China	21.2	110.4	1950	410001.494069
Zhaotong	China	27.31	103.71	1950	130001.705226
Zhengzhou	China	34.75	113.64	1950	520001.463115
Zhenjiang, Jiangsu	China	32.2	119.41	1950	90001.9918415
Zhuhai	China	22.27	113.56	1950	40001.323585
Zhuzhou	China	27.85	113.13	1950	130001.367255
Zibo	China	36.78	118.05	1950	1450001.7277
Zigong	China	29.4	104.78	1950	560001.649724
Zunyi	China	27.68	106.9	1950	200001.164383
Barranquilla	Colombia	10.98	-74.8	1950	290001.773759
Bogotá	Colombia	4.63	-74.08	1950	630001.111934
Bucaramanga	Colombia	7.11	-73.11	1950	110001.546311
Cali	Colombia	3.45	-76.52	1950	230001.370205
Cartagena	Colombia	10.41	-75.53	1950	110001.24131
Medellín	Colombia	6.24	-75.59	1950	380001.815058
Brazzaville	Congo	-4.28	15.28	1950	80001.493153
Kananga	Democratic Republic of the Congo	-5.89	22.4	1950	20001.3432107
Kinshasa	Democratic Republic of the Congo	-4.32	15.29	1950	200001.520414
Lubumbashi	Democratic Republic of the Congo	-11.68	27.54	1950	100001.836346
Mbuji-Mayi	Democratic Republic of the Congo	-6.14	23.66	1950	70001.1810508
San José	Costa Rica	9.93	-84.07	1950	150001.409536
La Habana	Cuba	23.04	-82.41	1950	1120001.43521
Praha	Czech Republic	50.1	14.45	1950	940001.321127
Cotonou	Benin	6.35	2.43	1950	20001.6409357
København	Denmark	55.71	12.54	1950	1220001.53325
Santo Domingo	Dominican Republic	18.48	-69.89	1950	220001.449841
Guayaquil	Ecuador	-2.2	-79.9	1950	260001.999616
Quito	Ecuador	-0.22	-78.52	1950	210001.172346
San Salvador	El Salvador	13.7	-89.2	1950	190001.054452
Addis Ababa	Ethiopia	9.02	38.7	1950	390001.194054
Huambo	Angola	-12.76	15.73	1950	20001.3360002
Luanda	Angola	-8.81	13.23	1950	140001.021401
Helsinki	Finland	60.19	24.97	1950	370001.954953
Bordeaux	France	44.84	-0.59	1950	430001.642808
Lille	France	50.63	3.06	1950	750001.000483
Lyon	France	45.74	4.85	1950	730001.886251
Marseille-Aix-en-Provence	France	43.28	5.38	1950	760001.493553
Nice-Cannes	France	43.55	7.01	1950	400001.428232
Paris	France	48.88	2.43	1950	6520001.68159
Toulouse	France	43.59	1.43	1950	270001.156303
Tbilisi	Georgia	41.72	44.78	1950	610001.466191
Berlin	Germany	52.51	13.32	1950	3350001.86353
Hamburg	Germany	53.57	10.02	1950	1610001.30992
Köln	Germany	50.94	6.93	1950	600001.56526
München	Germany	48.14	11.54	1950	830001.953468
Accra	Ghana	5.55	-0.2	1950	180001.664063
Kumasi	Ghana	6.68	-1.62	1950	100001.544827
Athínai	Greece	37.94	23.65	1950	1350001.62114
Thessaloniki	Greece	40.62	22.79	1950	290001.062578
Baku	Azerbaijan	40.32	49.81	1950	900001.369298
Buenos Aires	Argentina	-34.62	-58.44	1950	5100001.76024
Córdoba	Argentina	-31.31	-64.17	1950	430001.927105
Mendoza	Argentina	-32.89	-68.83	1950	250001.846756
Rosario	Argentina	-32.93	-60.66	1950	550001.633071
San Miguel de Tucumán	Argentina	-26.82	-65.21	1950	220001.372854
Ciudad de Guatemala (Guatemala City)	Guatemala	14.61	-90.52	1950	290001.917347
Conakry	Guinea	9.54	-13.67	1950	30001.4954605
Port-au-Prince	Haiti	18.52	-72.34	1950	130001.173112
Tegucigalpa	Honduras	14.09	-87.2	1950	70001.6653503
Hong Kong	China, Hong Kong Special Administrative Region	22.27	114.17	1950	1680001.83599
Budapest	Hungary	47.51	19.09	1950	1620001.7513
Agra	India	27.18	78.02	1950	370001.902315
Ahmadabad	India	23.03	72.56	1950	860001.847505
Aligarh	India	27.88	78.08	1950	140001.482834
Allahabad	India	25.45	81.85	1950	330001.500078
Amritsar	India	31.63	74.87	1950	340001.374831
Asansol	India	23.68	86.98	1950	90001.7134643
Aurangabad	India	19.78	75.29	1950	60001.6821912
Bangalore	India	12.97	77.58	1950	750001.817669
Bareilly	India	28.55	80.12	1950	210001.542815
Bhiwandi	India	19.29	73.06	1950	20001.064847
Bhopal	India	23.22	77.41	1950	100001.453811
Bhubaneswar	India	20.26	85.83	1950	20001.2720166
Chandigarh	India	30.73	76.78	1950	40001.7368516
Chennai	India	13.06	80.24	1950	1490001.98754
Coimbatore	India	11.01	76.97	1950	280001.258601
Delhi	India	28.66	77.21	1950	1370001.38206
Dhanbad	India	23.8	86.45	1950	70001.4624241
Durg-Bhilainagar	India	21.22	81.43	1950	20001.6300067
Faridabad	India	28.42	77.3	1950	20001.1149792
Ghaziabad	India	28.67	77.42	1950	40001.9801327
Guwahati	India	26.17	91.77	1950	40001.0119958
Gwalior	India	26.14	78.1	1950	240001.592634
Hubli-Dharwad	India	15.36	75.08	1950	190001.298482
Hyderabad	India	17.39	78.48	1950	1100001.7619
Indore	India	22.42	75.54	1950	300001.513305
Jabalpur	India	23.15	79.97	1950	250001.579807
Jaipur	India	26.9	75.8	1950	290001.563903
Jalandhar	India	31.32	75.57	1950	170001.803107
Jammu	India	33.45	76.24	1950	80001.0841038
Jamshedpur	India	22.8	86.18	1950	210001.001057
Jodhpur	India	26.28	73.02	1950	180001.624153
Kanpur	India	26.45	80.31	1950	690001.247321
Kochi	India	9.97	76.27	1950	160001.076037
Kolkata	India	22.54	88.33	1950	4510001.15298
Kota	India	25.18	75.83	1950	60001.769537
Kozhikode	India	26.28	75.77	1950	160001.209371
Lucknow	India	26.84	80.91	1950	490001.355566
Ludhiana	India	30.91	75.85	1950	150001.005883
Madurai	India	9.91	78.12	1950	360001.218692
Meerut	India	28.99	77.7	1950	230001.846271
Moradabad	India	28.83	78.78	1950	160001.720618
Mumbai	India	19.07	72.82	1950	2860001.14939
Mysore	India	12.3	76.65	1950	240001.709588
Nagpur	India	21.15	79.08	1950	470001.568956
Nashik	India	20.02	73.5	1950	150001.070528
Patna	India	25.61	85.13	1950	280001.393061
Pune	India	18.53	73.85	1950	580001.935583
Raipur	India	21.23	81.63	1950	90001.1602241
Rajkot	India	22.3	70.78	1950	130001.921468
Ranchi	India	23.35	85.33	1950	100001.233152
Salem	India	11.65	78.16	1950	200001.277391
Solapur	India	17.68	75.92	1950	270001.361852
Srinagar	India	34.08	74.8	1950	250001.791315
Surat	India	21.16	72.83	1950	230001.602514
Thiruvananthapuram	India	8.48	76.95	1950	180001.011844
Tiruchirappalli	India	10.81	78.69	1950	290001.361306
Vadodara	India	22.3	73.2	1950	210001.816098
Varanasi	India	25.28	82.95	1950	350001.869845
Vijayawada	India	16.51	80.61	1950	160001.483678
Visakhapatnam	India	17.74	83.33	1950	100001.928846
Adelaide	Australia	-34.81	138.52	1950	430001.985033
Brisbane	Australia	-27.45	153.02	1950	440001.606766
Melbourne	Australia	-37.85	145.07	1950	1330001.23177
Perth	Australia	-31.95	115.85	1950	310001.79389
Sydney	Australia	-33.88	151.02	1950	1690001.89769
Bandar Lampung	Indonesia	-5.45	105.26	1950	30001.8380416
Bandung	Indonesia	-6.91	107.6	1950	510001.504926
Bogor	Indonesia	-6.6	106.8	1950	110001.434784
Jakarta	Indonesia	-6.16	106.8	1950	1450001.25045
Malang	Indonesia	-7.98	112.62	1950	210001.743732
Medan	Indonesia	3.58	98.67	1950	280001.433204
Padang	Indonesia	-0.95	100.35	1950	100001.691773
Palembang	Indonesia	-2.99	104.75	1950	280001.580853
Pekan Baru	Indonesia	0.53	101.45	1950	40001.2698013
Semarang	Indonesia	-6.97	110.42	1950	370001.696742
Surabaya	Indonesia	-7.39	112.68	1950	680001.643082
Ujung Pandang	Indonesia	-5.13	119.41	1950	220001.830374
Ahvaz	Iran (Islamic Republic of)	31.31	48.68	1950	80001.8734569
Esfahan	Iran (Islamic Republic of)	32.65	51.67	1950	180001.039633
Karaj	Iran (Islamic Republic of)	35.81	50.96	1950	10001.4781081
Kermanshah	Iran (Islamic Republic of)	34.3	47.05	1950	100001.413831
Mashhad	Iran (Islamic Republic of)	36.28	59.59	1950	170001.169379
Qom	Iran (Islamic Republic of)	34.65	50.88	1950	80001.3369355
Shiraz	Iran (Islamic Republic of)	29.6	52.53	1950	130001.371976
Tabriz	Iran (Islamic Republic of)	38.08	46.28	1950	240001.832283
Tehran	Iran (Islamic Republic of)	35.77	51.44	1950	1040001.53397
Al-Basrah	Iraq	30.5	47.76	1950	120001.786742
Al-Mawsil	Iraq	36.33	43.13	1950	140001.338608
Baghdad	Iraq	33.33	44.39	1950	580001.804313
Irbil	Iraq	36.16	44.01	1950	30001.5409187
Dublin	Ireland	53.34	-6.25	1950	630001.509871
Hefa	Israel	32.76	35.0	1950	200001.549131
Tel Aviv-Yafo	Israel	32.04	34.76	1950	420001.479597
Milano	Italy	45.47	9.18	1950	1880001.40896
Napoli	Italy	40.83	14.25	1950	1500001.85154
Palermo	Italy	38.12	13.35	1950	590001.451201
Rome	Italy	41.87	12.51	1950	1880001.48309
Torino	Italy	45.07	7.66	1950	1010001.88678
Abidjan	Côte d'Ivoire	5.32	-4.02	1950	60001.4350833
Fukuoka-Kitakyushu	Japan	33.57	130.4	1950	950001.961404
Hiroshima	Japan	34.37	132.44	1950	500001.739128
Kyoto	Japan	35.0	135.75	1950	1000001.70989
Nagoya	Japan	35.15	136.92	1950	990001.523433
Osaka-Kobe	Japan	34.63	135.51	1950	4150001.55799
Sapporo	Japan	43.05	141.34	1950	750001.13874
Sendai	Japan	38.25	140.89	1950	540001.036153
Tokyo	Japan	35.68	139.8	1950	11280001.4235
Almaty	Kazakhstan	43.25	76.91	1950	350001.5404
Kabul	Afghanistan	34.53	69.13	1950	130001.217516
Wien	Austria	48.2	16.32	1950	2090001.41869
Amman	Jordan	31.94	35.93	1950	90001.7804552
Mombasa	Kenya	-4.05	39.65	1950	90001.6342724
Nairobi	Kenya	-1.26	36.8	1950	140001.162395
Hamhung	Democratic People's Republic of Korea	39.91	127.55	1950	170001.647305
N'ampo	Democratic People's Republic of Korea	38.73	125.4	1950	50001.5193694
P'yongyang	Democratic People's Republic of Korea	39.02	125.75	1950	520001.640615
Bucheon	Republic of Korea	37.5	126.78	1950	30001.8143748
Busan	Republic of Korea	35.1	129.03	1950	950001.879544
Daegu	Republic of Korea	35.86	128.6	1950	360001.686244
Daejon	Republic of Korea	36.35	127.38	1950	130001.666431
Goyang	Republic of Korea	37.65	126.8	1950	40001.3361294
Gwangju	Republic of Korea	35.16	126.91	1950	170001.210478
Incheon	Republic of Korea	37.48	126.63	1950	260001.658721
Seongnam	Republic of Korea	37.43	127.15	1950	50001.3898769
Seoul	Republic of Korea	37.54	126.93	1950	1020001.01357
Suweon	Republic of Korea	37.26	127.01	1950	70001.2846259
Ulsan	Republic of Korea	35.55	129.31	1950	30001.8774559
Al Kuwayt (Kuwait City)	Kuwait	29.38	47.97	1950	60001.7201158
Bishkek	Kyrgyzstan	42.87	74.77	1950	150001.425837
Bayrut	Lebanon	33.88	35.49	1950	320001.397229
Monrovia	Liberia	6.3	-10.79	1950	20001.3913184
Banghazi	Libyan Arab Jamahiriya	32.12	20.06	1950	50001.7435015
Tarabulus	Libyan Arab Jamahiriya	32.9	13.18	1950	110001.279902
Antananarivo	Madagascar	-18.9	47.52	1950	180001.532701
Johore Bharu	Malaysia	1.5	103.76	1950	50001.0273899
Klang	Malaysia	3.03	101.45	1950	40001.055818
Kuala Lumpur	Malaysia	3.14	101.7	1950	210001.300874
Bamako	Mali	12.65	-7.98	1950	90001.8269135
Aguascalientes	Mexico	21.88	-102.29	1950	90001.9179607
Chihuahua	Mexico	28.63	-106.07	1950	90001.2159875
Ciudad de México	Mexico	19.42	-99.12	1950	2880001.20162
Ciudad Juárez	Mexico	31.73	-106.48	1950	120001.606332
Culiacán	Mexico	24.8	-107.38	1950	50001.0301588
Guadalajara	Mexico	20.67	-103.34	1950	400001.754127
León de los Aldamas	Mexico	21.11	-101.68	1950	120001.350947
Mérida	Mexico	20.97	-89.62	1950	140001.49283
Mexicali	Mexico	32.65	-115.46	1950	70001.0222424
Monterrey	Mexico	25.67	-100.31	1950	360001.006242
Puebla	Mexico	19.04	-98.19	1950	230001.548389
Querétaro	Mexico	20.58	-100.38	1950	50001.9159405
Saltillo	Mexico	25.41	-100.99	1950	70001.0179584
San Luis Potosí	Mexico	22.15	-100.97	1950	130001.866727
Tijuana	Mexico	32.52	-117.03	1950	60001.4796008
Toluca de Lerdo	Mexico	19.28	-99.66	1950	50001.4494503
Torreón	Mexico	25.55	-103.76	1950	190001.978045
Ulaanbaatar	Mongolia	47.92	106.91	1950	70001.3547377
Chittagong	Bangladesh	22.32	91.82	1950	290001.952934
Dhaka	Bangladesh	23.7	90.4	1950	340001.26043
Khulna	Bangladesh	22.84	89.55	1950	40001.2928117
Rajshahi	Bangladesh	24.35	88.63	1950	40001.8251607
Dar-el-Beida	Morocco	33.6	-7.63	1950	620001.969445
Fès	Morocco	34.04	-4.99	1950	160001.615243
Marrakech	Morocco	31.63	-8.01	1950	210001.519009
Rabat	Morocco	34.01	-6.83	1950	140001.629986
Maputo	Mozambique	-25.96	32.57	1950	90001.9506076
Yerevan	Armenia	40.2	44.53	1950	340001.607966
Kathmandu	Nepal	27.71	85.31	1950	100001.064552
Amsterdam	Netherlands	52.37	4.89	1950	850001.45432
Rotterdam	Netherlands	51.92	4.48	1950	760001.973971
Auckland	New Zealand	-36.9	174.76	1950	320001.806363
Managua	Nicaragua	12.15	-86.27	1950	110001.996639
Antwerpen	Belgium	51.2	4.42	1950	760001.247319
Bruxelles-Brussel	Belgium	50.83	4.36	1950	1420001.3692
Niamey	Niger	13.51	2.12	1950	20001.2037445
Abuja	Nigeria	9.05	7.25	1950	20001.8855134
Benin City	Nigeria	6.33	5.62	1950	50001.8581448
Ibadan	Nigeria	7.37	3.89	1950	420001.028799
Ilorin	Nigeria	8.49	4.54	1950	110001.700169
Kaduna	Nigeria	10.51	7.44	1950	30001.8848436
Kano	Nigeria	11.99	8.49	1950	120001.199063
Lagos	Nigeria	6.45	3.3	1950	300001.195163
Maiduguri	Nigeria	11.85	13.16	1950	50001.9991542
Ogbomosho	Nigeria	8.13	4.25	1950	120001.091726
Port Harcourt	Nigeria	4.78	7.0	1950	60001.4083921
Zaria	Nigeria	11.06	7.7	1950	50001.4909121
Oslo	Norway	59.93	10.71	1950	470001.900918
Faisalabad	Pakistan	31.4	73.08	1950	170001.295295
Gujranwala	Pakistan	32.15	74.18	1950	120001.137033
Hyderabad	Pakistan	25.38	68.36	1950	230001.645429
Islamabad	Pakistan	33.71	73.06	1950	40001.4675102
Karachi	Pakistan	24.89	67.02	1950	1060001.64945
Lahore	Pakistan	31.54	74.34	1950	840001.017702
Multan	Pakistan	30.2	71.41	1950	190001.747712
Peshawar	Pakistan	34.0	71.54	1950	150001.822061
Quetta	Pakistan	30.2	67.01	1950	80001.9347605
Rawalpindi	Pakistan	33.6	73.04	1950	230001.344859
Ciudad de Panamá (Panama City)	Panama	9.0	-79.51	1950	170001.222216
Asunción	Paraguay	-25.3	-57.62	1950	260001.262948
Arequipa	Peru	-16.39	-71.52	1950	130001.603985
Lima	Peru	-12.08	-77.04	1950	1070001.30271
Cebu	Philippines	10.42	123.79	1950	180001.783371
Davao	Philippines	7.08	125.61	1950	120001.018011
Manila	Philippines	14.61	120.96	1950	1540001.87677
Zamboanga	Philippines	6.9	122.06	1950	110001.529914
Kraków	Poland	50.06	19.94	1950	340001.959712
Lódz	Poland	51.77	19.47	1950	610001.857863
Warszawa	Poland	52.24	21.01	1950	770001.050057
Lisboa	Portugal	38.72	-9.12	1950	1300001.20765
Porto	Portugal	41.16	-8.58	1950	730001.821666
San Juan	Puerto Rico	18.8	-71.22	1950	450001.318354
Bucuresti	Romania	44.43	26.12	1950	650001.643315
Chelyabinsk	Russian Federation	55.14	61.39	1950	570001.728613
Kazan	Russian Federation	55.73	49.14	1950	510001.93143
Krasnoyarsk	Russian Federation	56.01	92.83	1950	290001.029106
Moskva	Russian Federation	55.74	37.7	1950	5360001.40444
Nizhniy Novgorod	Russian Federation	58.54	31.27	1950	800001.399707
Novosibirsk	Russian Federation	55.03	82.94	1950	720001.653973
Omsk	Russian Federation	55.06	73.25	1950	440001.815667
Perm	Russian Federation	58.0	56.23	1950	500001.560542
Rostov-na-Donu	Russian Federation	47.23	39.68	1950	480001.175758
Samara	Russian Federation	53.23	50.16	1950	660001.552111
Sankt Peterburg	Russian Federation	59.91	30.24	1950	2900001.6717
Saratov	Russian Federation	51.49	45.95	1950	470001.827632
Ufa	Russian Federation	54.82	56.09	1950	420001.95703
Volgograd	Russian Federation	48.7	44.48	1950	460001.774649
Voronezh	Russian Federation	51.71	39.26	1950	330001.733468
Yekaterinburg	Russian Federation	56.83	60.58	1950	630001.295371
Kigali	Rwanda	-1.95	30.05	1950	20001.1104466
La Paz	Bolivia	-16.5	-68.15	1950	320001.540529
Santa Cruz	Bolivia	-17.78	-63.19	1950	40001.3031646
Ad-Dammam	Saudi Arabia	26.33	50.08	1950	20001.1307249
Al-Madinah	Saudi Arabia	24.42	39.69	1950	50001.2768798
Ar-Riyadh	Saudi Arabia	24.65	46.77	1950	110001.400934
Jiddah	Saudi Arabia	21.54	39.17	1950	120001.414159
Makkah	Saudi Arabia	21.42	39.81	1950	150001.008177
Dakar	Senegal	14.68	-17.45	1950	210001.529797
Beograd	Serbia	44.79	20.41	1950	410001.744627
Freetown	Sierra Leone	8.48	-13.23	1950	90001.8325092
Singapore	Singapore	1.26	103.83	1950	1020001.56939
Hà Noi	Viet Nam	21.03	105.82	1950	280001.949421
Hai Phòng	Viet Nam	20.86	106.67	1950	170001.860753
Thành Pho Ho Chí Minh	Viet Nam	10.75	106.66	1950	1210001.99445
Muqdisho	Somalia	2.04	45.34	1950	70001.0412853
Cape Town	South Africa	-33.97	18.48	1950	620001.174504
Durban	South Africa	-29.83	30.94	1950	480001.273136
Ekurhuleni	South Africa	-26.17	28.22	1950	550001.875884
Johannesburg	South Africa	-26.17	28.0	1950	900001.653535
Port Elizabeth	South Africa	-33.88	25.48	1950	190001.572456
Pretoria	South Africa	-25.73	28.21	1950	280001.975316
Vereeniging	South Africa	-26.67	27.93	1950	120001.315762
Harare	Zimbabwe	-17.82	31.02	1950	140001.086115
Barcelona	Spain	41.38	2.18	1950	1810001.64863
Madrid	Spain	40.44	-3.69	1950	1700001.29488
Valencia	Spain	39.47	-0.36	1950	510001.726936
Al-Khartum	Sudan	15.55	32.52	1950	180001.592237
Stockholm	Sweden	59.33	17.99	1950	740001.765149
Zürich	Switzerland	47.4	8.53	1950	490001.210576
Baixada Santista	Brazil	-23.95	-46.36	1950	250001.501489
Belém	Brazil	-1.43	-48.49	1950	240001.798411
Belo Horizonte	Brazil	-19.85	-43.9	1950	410001.119686
Brasília	Brazil	-15.79	-47.89	1950	40001.5958791
Campinas	Brazil	-22.9	-47.05	1950	150001.507189
Campo Grande	Brazil	-20.45	-54.61	1950	30001.8436568
Cuiabá	Brazil	-15.61	-56.09	1950	30001.6267844
Curitiba	Brazil	-25.43	-49.28	1950	160001.755531
Florianópolis	Brazil	-27.57	-48.61	1950	70001.7254007
Fortaleza	Brazil	-3.78	-38.58	1950	260001.603744
Goiânia	Brazil	-16.72	-49.25	1950	50001.1469938
Grande São Luís	Brazil	-2.51	-44.3	1950	120001.64346
Grande Vitória	Brazil	-20.3	-40.35	1950	80001.3320696
João Pessoa	Brazil	-7.12	-34.86	1950	120001.090256
Maceió	Brazil	-9.67	-35.74	1950	120001.85461
Manaus	Brazil	-3.12	-60.01	1950	90001.2970676
Natal	Brazil	-5.8	-35.21	1950	110001.212277
